Date;Certified_Stocks
;Close
11.05.2022;1104179
10.05.2022;1105804
09.05.2022;1117072
06.05.2022;1121597
05.05.2022;1121597
04.05.2022;1122838
03.05.2022;1115209
02.05.2022;1118600
29.04.2022;1118600
28.04.2022;1124672
27.04.2022;1126162
26.04.2022;1116912
25.04.2022;1109311
22.04.2022;1105535
21.04.2022;1100116
20.04.2022;1094277
19.04.2022;1092133
18.04.2022;1080558
14.04.2022;1080558
13.04.2022;1077409
12.04.2022;1082229
11.04.2022;1076813
08.04.2022;1077178
07.04.2022;1080179
06.04.2022;1083023
05.04.2022;1091449
04.04.2022;1089844
01.04.2022;1084842
31.03.2022;1080116
30.03.2022;1099568
29.03.2022;1112566
28.03.2022;1122671
25.03.2022;1143629
24.03.2022;1140064
23.03.2022;1140494
22.03.2022;1133871
21.03.2022;1111056
18.03.2022;1085621
17.03.2022;1072292
16.03.2022;1072292
15.03.2022;1060132
14.03.2022;1039088
11.03.2022;1027688
10.03.2022;1021976
09.03.2022;1009144
08.03.2022;1001144
07.03.2022;992285
04.03.2022;1002588
03.03.2022;1003338
02.03.2022;994239
01.03.2022;996779
28.02.2022;989389
25.02.2022;988429
24.02.2022;980562
23.02.2022;990990
22.02.2022;999019
21.02.2022;1011484
18.02.2022;1007325
17.02.2022;1016629
16.02.2022;1028006
15.02.2022;1027982
14.02.2022;1032749
11.02.2022;1035410
10.02.2022;1035410
09.02.2022;1035863
08.02.2022;1060242
07.02.2022;1078106
04.02.2022;1110084
03.02.2022;1133898
02.02.2022;1149999
01.02.2022;1203501
31.01.2022;1218627
28.01.2022;1287626
27.01.2022;1288344
26.01.2022;1311889
25.01.2022;1328886
24.01.2022;1342791
21.01.2022;1358325
20.01.2022;1374344
19.01.2022;1387468
18.01.2022;1387468
14.01.2022;1409014
13.01.2022;1412316
12.01.2022;1432556
11.01.2022;1459355
10.01.2022;1492657
07.01.2022;1506480
06.01.2022;1516417
05.01.2022;1531803
04.01.2022;1535247
03.01.2022;1538204
31.12.2021;1541074
30.12.2021;1541074
29.12.2021;1541074
28.12.2021;1541399
27.12.2021;1546856
23.12.2021;1547393
22.12.2021;1548338
21.12.2021;1546263
20.12.2021;1555313
17.12.2021;1555363
16.12.2021;1554138
15.12.2021;1563834
14.12.2021;1575113
13.12.2021;1604802
10.12.2021;1605639
09.12.2021;1602705
08.12.2021;1602604
07.12.2021;1606336
06.12.2021;1600374
03.12.2021;1593072
02.12.2021;1587525
01.12.2021;1587222
30.11.2021;1599649
29.11.2021;1599649
26.11.2021;1600908
24.11.2021;1680887
23.11.2021;1682237
19.11.2021;1775232
18.11.2021;1794499
17.11.2021;1793293
16.11.2021;1793578
15.11.2021;1793543
12.11.2021;1795845
11.11.2021;1798415
10.11.2021;1812205
09.11.2021;1830964
08.11.2021;1841369
05.11.2021;1849501
04.11.2021;1849501
03.11.2021;1864712
02.11.2021;1858071
01.11.2021;1877375
29.10.2021;1879864
28.10.2021;1888044
27.10.2021;1888044
26.10.2021;1889453
25.10.2021;1909578
22.10.2021;1911834
21.10.2021;1909879
20.10.2021;1904413
19.10.2021;1919892
18.10.2021;1921255
15.10.2021;1920410
14.10.2021;1921804
13.10.2021;1912278
12.10.2021;1914494
11.10.2021;1916704
08.10.2021;1943189
07.10.2021;1938316
06.10.2021;1973016
05.10.2021;2039298
04.10.2021;2072799
01.10.2021;2076557
30.09.2021;2089392
29.09.2021;2101115
28.09.2021;2118855
27.09.2021;2121455
24.09.2021;2123080
23.09.2021;2125990
22.09.2021;2144615
21.09.2021;2163697
20.09.2021;2164017
17.09.2021;2164372
16.09.2021;2164372
15.09.2021;2161172
14.09.2021;2161497
13.09.2021;2161747
10.09.2021;2161747
09.09.2021;2162122
08.09.2021;2162122
07.09.2021;2161675
03.09.2021;2162806
02.09.2021;2162806
01.09.2021;2162806
31.08.2021;2165261
30.08.2021;2166886
27.08.2021;2166001
26.08.2021;2165606
25.08.2021;2165606
24.08.2021;2156236
23.08.2021;2154886
20.08.2021;2154886
19.08.2021;2157568
18.08.2021;2161961
17.08.2021;2166467
16.08.2021;2165748
13.08.2021;2161046
12.08.2021;2158987
11.08.2021;2158987
10.08.2021;2161387
09.08.2021;2159236
06.08.2021;2159236
05.08.2021;2161686
04.08.2021;2166366
03.08.2021;2166691
02.08.2021;2176727
30.07.2021;2174208
29.07.2021;2176206
28.07.2021;2176091
27.07.2021;2177081
26.07.2021;2177406
