Date;LRC-TOT-VG (COMM_LAST)
;Close
14.3.2022;9310
11.3.2022;9258
10.3.2022;9217
09.3.2022;9219
08.3.2022;9147
07.3.2022;9164
04.3.2022;9087
03.3.2022;9087
02.3.2022;9109
01.3.2022;9204
28.2.2022;9086
25.2.2022;9108
24.2.2022;8984
23.2.2022;8902
22.2.2022;8818
21.2.2022;8860
17.2.2022;8882
16.2.2022;8882
15.2.2022;8931
14.2.2022;9011
11.2.2022;9025
10.2.2022;9039
09.2.2022;9061
08.2.2022;9183
04.2.2022;9244
03.2.2022;9257
02.2.2022;9279
01.2.2022;9377
28.1.2022;9435
27.1.2022;9444
26.1.2022;9444
25.1.2022;9498
24.1.2022;9525
21.1.2022;9533
20.1.2022;9513
19.1.2022;9539
18.1.2022;9540
17.1.2022;9549
13.1.2022;9729
12.1.2022;9739
10.1.2022;9750
07.1.2022;9712
06.1.2022;9716
05.1.2022;9799
04.1.2022;9828
30.12.2021;9872
29.12.2021;9902
28.12.2021;9904
23.12.2021;9919
22.12.2021;9925
21.12.2021;9977
20.12.2021;10152
17.12.2021;10184
16.12.2021;10191
15.12.2021;10279
14.12.2021;10323
13.12.2021;10367
10.12.2021;10382
09.12.2021;10413
08.12.2021;10423
07.12.2021;10448
06.12.2021;10461
02.12.2021;10538
01.12.2021;10553
29.11.2021;10692
26.11.2021;10702
25.11.2021;10808
24.11.2021;10893
23.11.2021;10904
22.11.2021;10945
19.11.2021;11162
18.11.2021;11236
17.11.2021;11361
16.11.2021;11374
15.11.2021;11388
12.11.2021;11403
11.11.2021;11403
10.11.2021;11452
09.11.2021;11477
08.11.2021;11509
05.11.2021;11514
04.11.2021;11564
03.11.2021;11612
02.11.2021;11660
01.11.2021;11661
29.10.2021;11699
28.10.2021;11744
27.10.2021;11752
26.10.2021;11760
25.10.2021;11839
22.10.2021;11863
21.10.2021;11863
19.10.2021;11894
18.10.2021;11924
15.10.2021;11987
14.10.2021;12029
13.10.2021;12066
12.10.2021;12076
11.10.2021;12167
08.10.2021;12203
07.10.2021;12218
06.10.2021;12258
05.10.2021;12285
04.10.2021;12290
01.10.2021;12290
30.9.2021;12344
29.9.2021;12454
28.9.2021;12474
27.9.2021;12773
24.9.2021;12775
23.9.2021;12801
22.9.2021;12811
21.9.2021;12891
17.9.2021;13127
16.9.2021;13154
15.9.2021;13274
13.9.2021;13345
10.9.2021;13414
09.9.2021;13449
07.9.2021;13691
06.9.2021;13691
03.9.2021;13746
02.9.2021;13751
01.9.2021;13757
31.8.2021;13808
27.8.2021;13846
26.8.2021;13900
25.8.2021;13923
24.8.2021;13927
23.8.2021;13988
20.8.2021;14045
19.8.2021;14045
18.8.2021;14103
17.8.2021;14133
16.8.2021;14133
13.8.2021;14159
